Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
514,MSD03,11/4/20,120.3870083,1,175684.3178,1
516,MSD04,11/4/20,50.65994921,1,41700.23605,1
517,MSD05,11/4/20,87.94745139,1,86751.29809,1
527,MSD02,11/9/20,60.4233118,1,162554.2189,1
530,MSD03,11/9/20,76.67647004,1,247425.1407,1
532,MSD04,11/9/20,61.31581562,1,62657.34448,1
533,MSD05,11/9/20,113.8917006,1,260007.6931,1
44144,MSD01,11/9/20,32.24854478,1,37108.83948,1
44145,MSD01,11/10/20,24.13642819,1,26050.65558,1
44146,MSD01,11/11/20,55.9117952,1,45990.29249,1
44147,MSD01,11/12/20,26.02500441,1,300067.7323,1
543,MSD02,11/11/20,72.14334057,1,52138.92873,1
546,MSD03,11/11/20,137.3548049,1,187747.868,1
548,MSD04,11/11/20,85.21540022,1,47381.86603,1
549,MSD05,11/11/20,145.2441098,1,51325.63661,1
559,MSD02,11/16/20,224.1589761,1,212575.1655,1
562,MSD03,11/16/20,178.0198149,1,185268.9621,1
564,MSD04,11/16/20,149.844609,1,231318.4877,1
565,MSD05,11/16/20,195.0260221,1,235216.6152,1
44151,MSD01,11/16/20,95.07000954,1,135656.9423,1
44152,MSD01,11/17/20,72.72545243,1,816868.4782,1
44153,MSD01,11/18/20,72.43928446,1,272964.2437,1
44154,MSD01,11/19/20,74.40321753,1,677295.8739,1
575,MSD02,11/18/20,74.06178729,1,793941.2165,1
578,MSD03,11/18/20,115.0705528,1,1166802.063,1
580,MSD04,11/18/20,86.16086819,1,324014.2569,1
581,MSD05,11/18/20,130.4988166,1,386823.0153,1
591,MSD02,11/23/20,119.8879579,1,942770.975,1
594,MSD03,11/23/20,102.9540951,1,1423590.856,1
596,MSD04,11/23/20,133.7696914,1,686346.8121,1
597,MSD05,11/23/20,69.8345197,1,410339.0543,1
603,MSD02,11/24/20,148.4146203,1,286983.2033,1
604,MSD03,11/24/20,163.5953381,1,215747.6653,1
605,MSD04,11/24/20,118.4152343,1,224961.4931,1
606,MSD05,11/24/20,107.7667761,1,259947.0211,1
44158,MSD01,11/23/20,77.69843145,1,608395.2992,1
44159,MSD01,11/24/20,75.79530603,1,181682.1463,1
611,MSD02,11/30/20,354.8558623,1,564614.8782,1
614,MSD03,11/30/20,141.2489085,1,183300.7067,1
616,MSD04,11/30/20,120.4677226,1,121475.2759,1
617,MSD05,11/30/20,179.4600247,1,182197.4808,1
44165,MSD01,11/30/20,106.1224084,1,178539.1275,1
627,MSD02,12/2/20,61.25987533,1,131084.6787,1
630,MSD03,12/2/20,44.1796812,1,156620.6231,1
632,MSD04,12/2/20,45.65163479,1,66744.73251,1
633,MSD05,12/2/20,44.71879263,1,108721.8357,1
44166,MSD01,12/1/20,19.73260178,1,61250.56695,1
44167,MSD01,12/2/20,16.39477664,1,39641.65377,1
44168,MSD01,12/3/20,64.89649781,1,624137.9814,1
643,MSD02,12/7/20,102.6189024,1,1513903.107,1
646,MSD03,12/7/20,102.6603189,1,1291591.998,1
648,MSD04,12/7/20,57.34102377,1,854898.2011,1
649,MSD05,12/7/20,111.7609315,1,823172.9622,1
44172,MSD01,12/7/20,57.29881354,1,468911.8018,1
659,MSD02,12/9/20,299.9333795,1,934801.5303,1
662,MSD03,12/9/20,396.0376958,1,1106970.693,1
664,MSD04,12/9/20,83.27896114,1,523157.4582,1
665,MSD05,12/9/20,125.1597973,1,639070.7312,1
44173,MSD01,12/8/20,171.608911,1,912557.0204,1
44174,MSD01,12/9/20,171.0733064,1,529756.4462,1
44175,MSD01,12/10/20,48.51281025,1,168287.9258,1
675,MSD02,12/14/20,186.2540338,1,362758.9012,1
678,MSD03,12/14/20,135.0941003,1,283113.5085,1
680,MSD04,12/14/20,154.9015385,1,270738.684,1
681,MSD05,12/14/20,83.19986628,1,132044.3724,1
