"","inc","inc.bot","inc.top","date"
"54",0.000385220339423162,1.47697502901662e-05,0.000755670928556157,2021-06-15
"55",0.000411090274488424,1.58184845619812e-05,0.000806362064414866,2021-06-16
"56",0.000438160117732743,1.69867405434741e-05,0.000859333494922012,2021-06-17
"57",0.000466372904663716,1.82846625274461e-05,0.000914461146799985,2021-06-18
"58",0.000495660093746774,1.97236688966202e-05,0.000971596518596927,2021-06-19
"59",0.00052625418893014,2.13165725488373e-05,0.00103119180531144,2021-06-20
"60",0.000560755505099775,2.30777171567505e-05,0.0010984332930428,2021-06-21
"61",0.000596953708609578,2.50231308364278e-05,0.00116888428638273,2021-06-22
"62",0.000634074907232622,2.71706990053674e-05,0.00124097911545987,2021-06-23
"63",0.000671974193355584,2.9540358435413e-05,0.00131440802827575,2021-06-24
"64",0.000710490369893686,3.2154314751964e-05,0.00138882642503541,2021-06-25
"65",0.000749446779925041,3.50372858997192e-05,0.00146385627395036,2021-06-26
"66",0.000788652517572679,3.82167743889983e-05,0.00153908826075635,2021-06-27
"67",0.000827904037018144,4.17233714573907e-05,0.0016140847025789,2021-06-28
"68",0.000866987167090513,4.55910966308792e-05,0.00168838323755014,2021-06-29
"69",0.00090567952792594,4.98577765482238e-05,0.00176150127930366,2021-06-30
"70",0.00095056777984061,5.45654673234385e-05,0.00184657009235778,2021-07-01
"71",0.000999352410343584,5.97609251642604e-05,0.00193894389552291,2021-07-02
"72",0.00104846505179063,6.54961304394135e-05,0.00203143397314184,2021-07-03
"73",0.001098302342162,7.18288708929417e-05,0.00212477581343106,2021-07-04
"74",0.001168832180496,7.8823390237193e-05,0.00225884097075479,2021-07-05
"75",0.00124798218816642,8.65511089124675e-05,0.00240941326742036,2021-07-06
"76",0.00132972469195684,9.50914243736374e-05,0.00256435795954005,2021-07-07
"77",0.00141376793752483,0.000104532598841549,0.00272300327620812,2021-07-08
"78",0.00149976642574457,0.000114972743024773,0.00288456010846437,2021-07-09
"79",0.00158732096046221,0.000126520904854756,0.00304812101606966,2021-07-10
"80",0.00167598018068003,0.000139298272757084,0.00321266208860297,2021-07-11
"81",0.00176524378852232,0.00015343950336689,0.00337704807367775,2021-07-12
"82",0.00185456764949254,0.000169094183839872,0.00354004111514522,2021-07-13
"83",0.00194337088968295,0.000186428438950307,0.00370031334041559,2021-07-14
"84",0.00203104504565187,0.000205626692925129,0.00385646339837859,2021-07-15
"85",0.00211696523798982,0.000226893595338732,0.00400703688064091,2021-07-16
"86",0.00220050324215624,0.000250456119260842,0.00415055036505164,2021-07-17
"87",0.00228104222471585,0.000276565838052782,0.00428551861137891,2021-07-18
"88",0.00235799280596911,0.000305501384551233,0.00441048422738699,2021-07-19
"89",0.00243081000872932,0.000337571092624718,0.00452404892483392,2021-07-20
"90",0.00249901056588162,0.000373115815945575,0.00462490531581768,2021-07-21
"91",0.00256218999446402,0.000412511911939157,0.00471186807698889,2021-07-22
"92",0.0026200388083914,0.000456174369833913,0.00478390324694889,2021-07-23
"93",0.00267235724068535,0.000504560050048865,0.00484015443132183,2021-07-24
