"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"78",2021-07-09,0.000613320696661162,0.00122661906600314,2.2327319182532e-08,295910,77,11,"d1"
"79",2021-07-10,0.000642485753791633,0.00128494966233454,2.18452487245705e-08,295910,78,11,"d1"
"80",2021-07-11,0.00067956861395721,0.00135911584193517,2.13859792467445e-08,295910,79,11,"d1"
"81",2021-07-12,0.00071981147262908,0.00143960199766361,2.09475945532465e-08,295910,80,11,"d1"
"82",2021-07-13,0.000761403697530689,0.00152278686664956,2.05284118222527e-08,295910,81,12,"d1"
"83",2021-07-14,0.000804271176493595,0.0016085222260382,2.01269489938725e-08,295910,82,12,"d1"
"84",2021-07-15,0.000848323319243602,0.00169662689659027,1.97418969334585e-08,295910,83,12,"d1"
"85",2021-07-16,0.000893452203959211,0.00178688503582277,1.93720956578125e-08,295910,84,12,"d1"
"86",2021-07-17,0.00093953188455409,0.00187904475259415,1.90165140192386e-08,295910,85,12,"d1"
"87",2021-07-18,0.000986417798722207,0.0019728171199728,1.84774716109577e-08,295910,86,12,"d1"
"88",2021-07-19,0.00103394656550611,0.0020678756650445,1.74659677266259e-08,295910,87,12,"d1"
"89",2021-07-20,0.00108193645954237,0.00216385641370659,1.65053781591633e-08,295910,88,13,"d1"
"90",2021-07-21,0.001130187079207,0.00226035856499713,1.55934168812662e-08,295910,89,13,"d1"
"91",2021-07-22,0.00117848029529718,0.00235694586270791,1.47278864431517e-08,295910,90,13,"d1"
"92",2021-07-23,0.00122658131414213,0.00245314872160963,1.39066746224515e-08,295910,91,13,"d1"
"93",2021-07-24,0.00127424013956905,0.00254846715138674,1.31277513661616e-08,295910,92,13,"d1"
"94",2021-07-25,0.0013387703311893,0.00267752827321264,1.23891659648326e-08,295910,93,13,"d1"
"95",2021-07-26,0.0014161521058889,0.0028322925227334,1.1689044411857e-08,295910,94,13,"d1"
"96",2021-07-27,0.00149541284398398,0.00299081466238105,1.1025586910873e-08,295910,95,14,"d1"
"97",2021-07-28,0.00158301670798763,0.00316602301890976,1.03970655024343e-08,295910,96,14,"d1"
