"","date","inc.x","inc.bot.x","inc.top.x","inc.y","inc.bot.y","inc.top.y"
"41",2021-06-02,0.000236178649377542,1.10951780898029e-06,0.000471247780946104,0.0027986545875962,5.37193924033171e-08,0.0055972554558
"42",2021-06-03,0.000247216378800183,1.06041345479489e-06,0.000493372344145573,0.00326733374063689,4.5060631415591e-08,0.00653462242064237
"43",2021-06-04,0.000267361637909664,1.02159088940834e-06,0.000533701684929921,0.00381331511867262,3.79523147999365e-08,0.00762659228503044
"44",2021-06-05,0.000292141966724663,9.91918362200813e-07,0.000583292015087124,0.00444254486157104,3.2102721814229e-08,0.00888505762042027
"45",2021-06-06,0.000319644749789119,9.70439155418916e-07,0.00063831906042282,0.00515834855989463,2.72761755679536e-08,0.0103166698436137
"46",2021-06-07,0.000350026418347108,9.56347851379678e-07,0.000699096488842836,0.00595994740093622,2.32821860038579e-08,0.0119198715196864
"47",2021-06-08,0.000383440979238894,9.48970219207615e-07,0.000765932988258581,0.00684074426178952,1.99667030295944e-08,0.013681468556876
"48",2021-06-09,0.000420037528392858,9.47746180766201e-07,0.00083912731060495,0.0077865649323115,1.72050691528429e-08,0.0155731126595538
"49",2021-06-10,0.000459957358402964,9.52215400741911e-07,0.000918962501405187,0.00877417925240877,1.48963409266924e-08,0.0175483436084766
"50",2021-06-11,0.000503330641289401,9.62005117541111e-07,0.00100569927746126,0.0097705646627907,1.2958712895447e-08,0.0195411163668685
"51",2021-06-12,0.000550272676406225,9.76819892011223e-07,0.00109956853292044,0.0107334499472176,1.1325829576748e-08,0.0214668885686056
"52",2021-06-13,0.000600879705342948,9.96433001863943e-07,0.00120076297768403,0.0116136078028823,9.94381276568393e-09,0.0232272056619519
"53",2021-06-14,0.00065522431094365,1.02067925261439e-06,0.00130942794263468,0.0123590804193833,8.7688650665644e-09,0.0247181520699015
"54",2021-06-15,0.000713350436526278,1.04944901215172e-06,0.00142565142404041,0.0129210189063051,7.76533763151605e-09,0.0258420300472725
"55",2021-06-16,0.000775268084169319,1.08268330680574e-06,0.00154945348503183,0.013260212430896,6.90417188692184e-09,0.02652041795762
"56",2021-06-17,0.000840947777470215,1.12036984287423e-06,0.00168077518509755,0.0133529145275563,6.16164258558783e-09,0.0267058228934699
"57",2021-06-18,0.000910314904103779,1.16253983978434e-06,0.00181946726836777,0.0132933626163853,5.5183436610538e-09,0.0265867197144269
"58",2021-06-19,0.000983244086077772,1.2092655800108e-06,0.00196527890657553,0.0135278093464906,4.95836974634805e-09,0.0270556137346115
"59",2021-06-20,0.00105955375960311,1.26065859709909e-06,0.00211784686060912,0.0136960011070556,4.46865538875694e-09,0.0273919977454558
"60",2021-06-21,0.00113900118026066,1.31686843708627e-06,0.00227668549208422,0.0136924085110567,4.03844137647924e-09,0.027384812983672
"61",2021-06-22,0.00122127810040369,1.37808194065755e-06,0.00244117811886672,0.0134095234325644,3.65884353994352e-09,0.0268190432062852
"62",2021-06-23,0.00130600739170733,1.44452300383733e-06,0.00261057026041082,0.0128742877397221,3.32250417997501e-09,0.0257485721569401
"63",2021-06-24,0.00139274090323982,1.51645278416149e-06,0.00278396535369548,0.012224621529313,3.02331013228672e-09,0.0244492400353158
"64",2021-06-25,0.00148095885088379,1.59417032734066e-06,0.00296032353144025,0.0122721055574203,2.7561645844309e-09,0.024544208358676
"65",2021-06-26,0.00157007102385001,1.6780135965982e-06,0.00313846403410342,0.0123281994143023,2.51680226352636e-09,0.0246563963118022
"66",2021-06-27,0.00165942006519889,1.76836089331849e-06,0.00331707176950446,0.0121926149204613,2.3016396284622e-09,0.0243852275392829
"67",2021-06-28,0.00174828703326472,1.86563266351469e-06,0.00349470843386593,0.0118928155679894,2.10765332363782e-09,0.0237856290283255
"68",2021-06-29,0.00183589937843694,1.97029369004626e-06,0.00366982846318383,0.0117074046835691,1.93228145894712e-09,0.0234148074348568
"69",2021-06-30,0.00192144137536104,2.08285567559289e-06,0.00384079989504649,0.0114182297557748,1.77334333410589e-09,0.0228364577382063
"70",2021-07-01,0.00200406693683602,2.20388022622142e-06,0.00400592999344582,0.0111328086530691,1.62897407404337e-09,0.0222656156771642
"71",2021-07-02,0.00208291460739409,2.33398225004903e-06,0.00416349523253813,0.0108980888355764,1.49757132578319e-09,0.0217961761735815
"72",2021-07-03,0.00215712439897555,2.47383379009001e-06,0.00431177496416101,0.0107889921371893,1.37775171811871e-09,0.0215779828966268
"73",2021-07-04,0.00222585599752394,2.62416831494294e-06,0.00444908782673294,0.0109741678110181,1.26831522928634e-09,0.0219483343537209
"74",2021-07-05,0.00228830774840958,2.78578549559816e-06,0.00457382971132356,0.0110145249614608,1.16821596557057e-09,0.0220290487547057
"75",2021-07-06,0.00234373573151329,2.95955650138332e-06,0.00468451190652519,0.0109097743779466,1.07653814209738e-09,0.0218195476793551
"76",2021-07-07,0.0023952616481426,3.14642985297738e-06,0.00478737686643222,0.0106674845739938,9.92476289485699e-10,0.0213349681555113
"77",2021-07-08,0.00246693638535137,3.34743787556948e-06,0.00493052533282717,0.0103020857561923,9.15318897400931e-10,0.0206041705970658
"78",2021-07-09,0.00253703357064135,3.56370380067646e-06,0.00507050343748201,0.00991768617248485,8.44434857144692e-10,0.0198353715005348
"79",2021-07-10,0.00259936596423048,3.79644957091961e-06,0.00519493547889005,0.00987689369376094,7.79262187271975e-10,0.0197537866082597
"80",2021-07-11,0.00265315751322201,4.04700440825695e-06,0.00530226802203577,0.00990919082695871,7.19298624529916e-10,0.0198183809346188
"81",2021-07-12,0.00269773536237595,4.31681421283391e-06,0.00539115391053907,0.0098325749883857,6.64093741734993e-10,0.0196651493126777
"82",2021-07-13,0.00273254798928028,4.60745186681576e-06,0.00546048852669375,0.00965189348334582,6.1324231823223e-10,0.0193037863534493
"83",2021-07-14,0.00275718011981504,4.92062852536801e-06,0.00550943961110472,0.00937637458717448,5.66378740278147e-10,0.0187527486079702
"84",2021-07-15,0.00277136371481247,5.25820598542656e-06,0.00553746922363953,0.00901870202880187,5.23172250449405e-10,0.0180374035344315
"85",2021-07-16,0.00279840176927983,5.62221023212402e-06,0.00559118132832755,0.00859385972933917,4.83322898926957e-10,0.0171877189753554
"86",2021-07-17,0.00290309111953807,6.01484627279345e-06,0.00580016739280334,0.00864400070416704,4.46558076792428e-10,0.017288000961776
"87",2021-07-18,0.0030068039879635,6.43851437944198e-06,0.00600716946154756,0.00887700240103825,4.12629533549355e-10,0.017754004389447
