"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.408684707373836,0.0128383874517883,0.53162224996905,0.467287123318343,0.100153074883132,0.000510427886924429,0.000821656898097529,0.0193437032924641,0.929027797395963,0.630378707568343
0.563916632547034,0.0127806493230507,0.423246389679516,0.511144428538552,0.1020961701233,0.000561594963308805,0.000762799952495232,0.0232098918977405,0.939836920389567,0.600851153384609
0.418084321200992,0.0128288917225178,0.399606610165412,0.398556513945697,0.0985528231572003,0.00029845986043569,0.00392895890341085,0.0220747541106579,0.93733551096142,0.708629298897137
0.430325820066272,0.0127951380344654,0.37484131546105,0.391804202962728,0.0882205687008,0.000475406000789062,0.00227862180014453,0.0209897921419021,0.938524345833356,0.685209071311214
0.427381026432733,0.012751333139707,0.34572236042171,0.370465303677529,0.0913961437004932,0.000268204834256007,0.00188578971391147,0.0221121812209868,0.919103129017451,0.672106916714033
0.580902132677455,0.0128262214232594,0.458240257304872,0.517028980319779,0.0998533278890143,5.9093035730234e-05,0.00194481183015767,0.0222936836453298,0.916689175460804,0.60920520784629
0.491277160001873,0.0128005676851639,0.564928295770321,0.52838183482791,0.119236835711379,9.94234307038441e-05,0.000167449038964079,0.0218723769349603,0.93441291239538,0.713346973464147
0.511470993389851,0.0128176001054918,0.552491943015801,0.528100321360783,0.106532942909875,9.07186182989444e-05,0.000155972206089505,0.0218017117976207,0.929803439522409,0.740268814732192
0.429928910172799,0.0127796191211616,0.392563270710077,0.402826439775392,0.0983125016141226,0.000709180449551932,0.000585070129930068,0.0223353271889301,0.94239133705756,0.613022038315547
0.434858024429564,0.0128027208512329,0.419208546450317,0.419522598085406,0.0807900891463774,0.000432951675170277,0.000584702533626009,0.0211419736835545,0.938610740849855,0.59587843997625
0.553125827453653,0.012819823203508,0.399993523791756,0.472357508291431,0.114218777065307,0.00020870573333884,0.00251442919729172,0.0226345494896297,0.931888316305284,0.625293524831311
0.494987363592414,0.0128167720596651,0.381630537983363,0.409993361467808,0.100876530134434,0.000100921184187245,0.00222271035173013,0.0234351863906359,0.95541585581323,0.632552646394342
0.429673907603492,0.0128429531656298,0.492006631827594,0.50111951234438,0.0904725320737246,0.00118120687970137,0.00113394081171762,0.0219785630866666,0.907736425009602,0.667113785352624
0.550735429588165,0.0127384874336576,0.436472448500159,0.482474003305022,0.11008308380066,0.000157400203108818,0.00269638888149453,0.022666304618003,0.953868196754518,0.614176133942288
0.53124505187612,0.0127434615917647,0.414038777469454,0.474635304587875,0.127415729714473,0.000303627324605084,0.00313427998688961,0.0236826006907857,0.93140423136119,0.680296144104186
0.556736929912457,0.0127635584298937,0.448820307690696,0.510853018707507,0.136605268224091,0.000441710772050534,0.00307932307036123,0.024078543059973,0.94160484440978,0.67222266215685
0.39718836410104,0.0128595811204041,0.470890443461175,0.42833144064167,0.0749134869740493,0.000445589373336418,0.000658748238551061,0.0195840045882099,0.927620038085796,0.640972420087336
0.385759173051829,0.0128279994839119,0.506553666420312,0.463214531640677,0.0879196445831443,0.000351867227306489,0.000530955238780953,0.0228582236163171,0.893843198123358,0.643383312789653
0.629839455880074,0.0127375416112905,0.500521790139283,0.569994101722081,0.123485503871576,0.00107037194839582,0.000168266745286927,0.021584252237454,0.958273910229372,0.575919388380772
0.423205613121239,0.0128572381557503,0.63015984384646,0.539973712383711,0.164448361673033,0.000538322854064084,0.000109109256383332,0.0241411882855657,0.936755407215997,0.652560360971964
0.342368328233896,0.0128376048519546,0.53004705425963,0.438362481531792,0.140939690129586,0.000678615006052466,0.000288876134725738,0.019436611491015,0.920550941443449,0.654295189720235
0.461218618705155,0.0127898257926957,0.529923166778081,0.506418697994287,0.0898341089419145,0.000731474316550101,0.00220545781731755,0.0203302285786761,0.928742492662437,0.639553099571388
0.402499966472263,0.0127884895918918,0.562686763289233,0.479136278724347,0.0841916895057367,0.000331369683501513,0.00218403405947364,0.021877826143349,0.93463900777024,0.666286646886813
0.459521739755382,0.0128026309106348,0.447372200379514,0.455795383334587,0.0997356351066867,0.000873452842488929,0.00214008003105507,0.0204091508109616,0.9278218105994,0.654166919779359
0.448075391458573,0.0128177179401856,0.429001500077216,0.4372234870766,0.110541384933742,0.000333188226261495,0.00329839293307623,0.0223805255422083,0.922647637448855,0.699457231166724
0.508991941830953,0.0127855877846941,0.423017301542636,0.45770045959256,0.104847025304218,0.000446815426524291,0.000834422341743645,0.0232642141358474,0.949900540871976,0.604644647613879
0.493843426160224,0.0128072953428084,0.429664967715369,0.457333663140644,0.110999255977201,0.000553482722682725,0.00101871966003835,0.0236768536677461,0.952632418433773,0.573394692965216
0.390949676548888,0.0128653290840291,0.425645476153877,0.438918504019809,0.0928272843527883,0.000211690550323128,0.00212161351597592,0.021443972704238,0.907985392634509,0.713250768078514
0.36700708102522,0.0128382542117309,0.431825043337216,0.453519992669409,0.105272378474413,0.000197043595230037,0.00111617657664151,0.0221235691787163,0.902410440666382,0.713000192023386
0.47335891302071,0.0128007339758115,0.415832857470778,0.612960512403944,0.0984585855382574,0.00150921387860537,0.00185828193396415,0.0204823661832418,0.901642898411402,0.598646953793615
