"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.465554008741423,0.00889049333300261,0.455545198353837,0.450492484971542,0.0745080217839772,0.00041052771645703,0.00119919658254063,0.0202351408847795,0.950226275930988,0.537762751012643
0.454096740313082,0.00849496267555375,0.383738128633109,0.424551100736838,0.132937222946448,0.000194016769617213,0.00056950998081902,0.0212355973087375,0.930803837132961,0.729629032104172
0.464207315186535,0.0081817614216744,0.420215013504149,0.440282454835261,0.138317373008421,0.000104157507220709,0.000398954208604612,0.0225189684548376,0.931667186712478,0.649519778870762
0.521229952953519,0.00865045312048388,0.416908724182412,0.481707581997565,0.100228603403641,0.000185631222566197,0.0003010032703691,0.0236585872984273,0.937442410795689,0.636807757267278
0.515955428104548,0.00894383904148194,0.39698665496971,0.461364971025306,0.0978199928587828,0.000155386794079439,0.00276127882514004,0.0201187143910368,0.957011095430866,0.641000263235119
0.374124015821806,0.00866178634877382,0.379002305680077,0.367438269462003,0.110025537476266,0.000672895496662046,0.000342995168453703,0.0231971284576333,0.93871330133363,0.626370564020366
0.430439697010713,0.00906551998033397,0.425580390622508,0.411555309355825,0.0823260796074925,0.000431383746855163,0.00441271203339214,0.0226288406561864,0.952576004209456,0.58689824624612
0.556985327550689,0.00857855249189199,0.301526322748169,0.46496256373455,0.0724554251152024,0.000296097637538553,0.00100862585384887,0.0231870665457492,0.950660391721484,0.670936034249741
0.365152046670079,0.00907011036031989,0.42748412721334,0.376369589873685,0.139973874300806,0.000278263526215927,0.00238361338226047,0.0223873292872944,0.947650821486272,0.64494628508894
0.410168933013647,0.00834609205251934,0.387332886597626,0.392832141590272,0.101531253208726,0.000429856122480982,0.000860894822948099,0.0230295562545179,0.94671654630094,0.641890222091127
0.465424970575772,0.00924719273268355,0.413076248172288,0.442627094974317,0.103258784687383,0.000472540139407681,0.00138006675528135,0.020828079629491,0.945823826230669,0.632820685408536
0.529037521023919,0.00836476984074013,0.462578129012802,0.50682371360692,0.106746529502243,0.000189424056356883,0.00138574514926168,0.0235839423913803,0.947906253923659,0.655538947602721
0.55062548287383,0.00839339780284291,0.490580144862276,0.540328522845506,0.0883649440911055,0.000298991095549034,0.00147047773444515,0.0230890338854212,0.948112145660137,0.624925216938632
0.512759144139937,0.00831151446429889,0.425855618878671,0.480821390514064,0.0899011291898242,0.000143717368858365,0.00245499264641621,0.0233490959484193,0.94817618426348,0.674480295339743
0.504839502943145,0.00837619127948065,0.47104233951028,0.494856443968651,0.0886118138884859,0.000251142922561612,0.00396404205169345,0.0234522444774224,0.949831499665169,0.687558041023012
0.460494770931999,0.00918724806031389,0.414761967745028,0.437184771929722,0.123472439637196,0.000234328138700606,0.00042063411085995,0.0219096357686509,0.948206894716363,0.619146360477742
0.48946689423402,0.00874453941909378,0.42349930188276,0.463154255463196,0.107839452038281,0.000202452331769947,0.000285530083720605,0.0237887131247959,0.944133797294644,0.642226802165574
0.385501699215167,0.00869725993235909,0.399836801509897,0.381085651129378,0.0862627279670487,0.0011804531754009,0.00116492049677905,0.0200980560151499,0.946286789920715,0.646358530783608
0.388383023502513,0.00863060079310343,0.40531497727734,0.38635398350143,0.089906219725573,0.000780333211695694,0.00113682219923378,0.0209530064209033,0.941086351624261,0.677532040076348
0.411422938052801,0.00870098794561296,0.382236591715172,0.38527145312128,0.109090036652369,0.000302031235161728,0.000615846887643219,0.0228325634506749,0.941553536776086,0.640046443260463
0.45417024384419,0.00854122922379035,0.428683559077463,0.429953774433446,0.0929359181608193,0.00029769707058032,0.000842631986376768,0.0203371971633536,0.951923345900276,0.586352961888013
0.489710622601155,0.00853188007245591,0.425066967957295,0.462647852869301,0.0812389373146592,0.000926847818184237,0.00125964020602467,0.0236252651917569,0.93840704353269,0.583435467424387
0.427597895527614,0.00857170151301402,0.495633339444035,0.443544995510945,0.0626068012179231,0.000435610624907075,0.00117425737511218,0.020832570108735,0.95714240212984,0.642355185542671
0.514398410056791,0.00881630468824607,0.408194495431,0.467803591948408,0.0853639423727137,0.000374926427287156,0.00490971380327856,0.0210278124414244,0.954457490090184,0.673542791980008
0.481524210817809,0.00888713522979473,0.386564684224065,0.443800282041538,0.123009383021808,0.000319394324346951,0.00115671028589041,0.0195556556930214,0.946112245835615,0.700072567886489
